"Season","Salary Cap","Luxury Tax","1st Apron","2nd Apron","BAE","Non-Taxpayer MLE","Taxpayer MLE","Team Room MLE"
"2034-2035","$245,258,000","$297,988,000","$310,703,000","$329,542,000","$8,143,000","$22,368,000","$9,015,000","$13,926,000"
"2033-2034","$233,579,000","$283,798,000","$295,908,000","$313,849,000","$7,755,000","$21,302,000","$8,586,000","$13,263,000"
"2032-2033","$222,456,000","$270,284,000","$281,817,000","$298,904,000","$7,386,000","$20,288,000","$8,177,000","$12,631,000"
"2031-2032","$211,863,000","$257,414,000","$268,398,000","$284,672,000","$7,034,000","$19,322,000","$7,788,000","$12,030,000"
"2030-2031","$201,774,000","$245,155,000","$255,616,000","$271,115,000","$6,699,000","$18,402,000","$7,417,000","$11,457,000"
"2029-2030","$192,166,000","$233,482,000","$243,445,000","$258,205,000","$6,380,000","$17,526,000","$7,064,000","$10,911,000"
"2028-2029","$183,015,000","$222,363,000","$231,851,000","$245,909,000","$6,076,000","$16,691,000","$6,727,000","$10,392,000"
"2027-2028","$174,300,000","$211,775,000","$220,812,000","$234,200,000","$5,787,000","$15,896,000","$6,407,000","$9,897,000"
"2026-2027","$166,000,000","$201,690,000","$210,690,000","$223,690,000","$5,511,000","$15,139,000","$6,102,000","$9,425,000"
"2025-2026","$154,647,000","$187,895,000","$195,945,000","$207,824,000","$5,134,000","$14,104,000","$5,685,000","$8,781,000"
"2024-2025","$140,588,000","$170,814,000","$178,132,000","$188,931,000","$4,668,000","$12,822,000","$5,168,000","$7,983,000"
"2023-2024","$136,021,000","$165,294,000","$172,346,000","$182,794,000","$4,516,000","$12,405,000","$5,000,000","$7,723,000"
"2022-2023","$123,655,000","$150,267,000","$156,983,000","N/A","$4,105,000","$10,490,000","$6,479,000","$5,401,000"
"2021-2022","$112,414,000","$136,606,000","$143,002,000","N/A","$3,732,000","$9,536,000","$5,890,000","$4,910,000"
"2020-2021","$109,140,000","$132,627,000","$138,928,000","N/A","$3,623,000","$9,258,000","$5,718,000","$4,767,000"
"2019-2020","$109,140,000","$132,627,000","$138,928,000","N/A","$3,623,000","$9,258,000","$5,718,000","$4,767,000"
"2018-2019","$101,869,000","$123,733,000","$129,817,000","N/A","$3,382,000","$8,641,000","$5,337,000","$4,449,000"
"2017-2018","$99,093,000","$119,266,000","$125,266,000","N/A","$3,290,000","$8,406,000","$5,192,000","$4,328,000"
"2016-2017","$94,143,000","$113,287,000","$117,287,000","N/A","$2,203,000","$5,628,000","$3,477,000","$2,898,000"
"2015-2016","$70,000,000","$84,740,000","$88,740,000","N/A","$2,139,000","$5,464,000","$3,376,000","$2,814,000"
"2014-2015","$63,065,000","$76,829,000","$80,829,000","N/A","$2,077,000","$5,305,000","$3,278,000","$2,732,000"
"2013-2014","$58,679,000","$71,748,000","$75,748,000","N/A","$2,016,000","$5,150,000","$3,183,000","$2,652,000"
"2012-2013","$58,044,000","$70,307,000","$74,307,000","N/A","$1,957,000","$5,000,000","$3,090,000","$2,575,000"
"2011-2012","$58,044,000","$70,307,000","$74,307,000","N/A","$1,900,000","$5,000,000","$3,000,000","$2,500,000"
"2010-2011","$58,044,000","$70,307,000","N/A","N/A","$2,080,000","$5,765,000","N/A","N/A"
"2009-2010","$57,700,000","$69,920,000","N/A","N/A","$1,990,000","$5,854,000","N/A","N/A"
"2008-2009","$58,680,000","$71,150,000","N/A","N/A","$1,910,000","$5,585,000","N/A","N/A"
"2007-2008","$55,630,000","$67,865,000","N/A","N/A","$1,830,000","$5,356,000","N/A","N/A"
"2006-2007","$53,135,000","$65,420,000","N/A","N/A","$1,750,000","$5,215,000","N/A","N/A"
"2005-2006","$49,500,000","$61,700,000","N/A","N/A","$1,670,000","$5,000,000","N/A","N/A"
"2004-2005","$43,870,000","N/A","N/A","N/A","$1,600,000","$4,903,000","N/A","N/A"
"2003-2004","$43,840,000","$54,556,722","N/A","N/A","$1,500,000","$4,917,000","N/A","N/A"
"2002-2003","$40,271,000","$52,880,000","N/A","N/A","$1,400,000","$4,546,000","N/A","N/A"
"2001-2002","$42,500,000","N/A","N/A","N/A","$1,300,000","$4,538,000","N/A","N/A"
"2000-2001","$35,500,000","N/A","N/A","N/A","$1,200,000","$2,250,000","N/A","N/A"
"1999-2000","$34,000,000","N/A","N/A","N/A","$1,100,000","$2,000,000","N/A","N/A"
"1998-1999","$30,000,000","N/A","N/A","N/A","$1,000,000","$1,750,000","N/A","N/A"
"1997-1998","$26,900,000","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1996-1997","$24,363,000","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1995-1996","$23,000,000","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1994-1995","$15,964,000","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1993-1994","$15,175,000","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1992-1993","$14,000,000","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1991-1992","$12,500,000","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1990-1991","$11,871,000","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1989-1990","$9,802,000","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1988-1989","$7,232,000","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1987-1988","$6,164,000","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1986-1987","$4,945,000","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1986-1987","$4,945,000","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1985-1986","$4,233,000","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1984-1985","$3,600,000","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
